payloadlen,datarate,datarate_desc,airtime
0,0,SF12,1156
1,0,SF12,1156
2,0,SF12,1156
3,0,SF12,1319
4,0,SF12,1319
5,0,SF12,1319
6,0,SF12,1319
7,0,SF12,1319
8,0,SF12,1483
9,0,SF12,1483
10,0,SF12,1483
11,0,SF12,1483
12,0,SF12,1483
13,0,SF12,1647
14,0,SF12,1647
15,0,SF12,1647
16,0,SF12,1647
17,0,SF12,1647
18,0,SF12,1811
19,0,SF12,1811
20,0,SF12,1811
21,0,SF12,1811
22,0,SF12,1811
23,0,SF12,1975
24,0,SF12,1975
25,0,SF12,1975
26,0,SF12,1975
27,0,SF12,1975
28,0,SF12,2139
29,0,SF12,2139
30,0,SF12,2139
31,0,SF12,2139
32,0,SF12,2139
33,0,SF12,2302
34,0,SF12,2302
35,0,SF12,2302
36,0,SF12,2302
37,0,SF12,2302
38,0,SF12,2466
39,0,SF12,2466
40,0,SF12,2466
41,0,SF12,2466
42,0,SF12,2466
43,0,SF12,2630
44,0,SF12,2630
45,0,SF12,2630
46,0,SF12,2630
47,0,SF12,2630
48,0,SF12,2794
49,0,SF12,2794
50,0,SF12,2794
51,0,SF12,2794
0,1,SF11,578
1,1,SF11,660
2,1,SF11,660
3,1,SF11,660
4,1,SF11,660
5,1,SF11,660
6,1,SF11,742
7,1,SF11,742
8,1,SF11,742
9,1,SF11,742
10,1,SF11,824
11,1,SF11,824
12,1,SF11,824
13,1,SF11,824
14,1,SF11,824
15,1,SF11,906
16,1,SF11,906
17,1,SF11,906
18,1,SF11,906
19,1,SF11,988
20,1,SF11,988
21,1,SF11,988
22,1,SF11,988
23,1,SF11,988
24,1,SF11,1070
25,1,SF11,1070
26,1,SF11,1070
27,1,SF11,1070
28,1,SF11,1151
29,1,SF11,1151
30,1,SF11,1151
31,1,SF11,1151
32,1,SF11,1151
33,1,SF11,1233
34,1,SF11,1233
35,1,SF11,1233
36,1,SF11,1233
37,1,SF11,1315
38,1,SF11,1315
39,1,SF11,1315
40,1,SF11,1315
41,1,SF11,1315
42,1,SF11,1397
43,1,SF11,1397
44,1,SF11,1397
45,1,SF11,1397
46,1,SF11,1479
47,1,SF11,1479
48,1,SF11,1479
49,1,SF11,1479
50,1,SF11,1479
51,1,SF11,1561
0,2,SF10,289
1,2,SF10,289
2,2,SF10,330
3,2,SF10,330
4,2,SF10,330
5,2,SF10,330
6,2,SF10,330
7,2,SF10,371
8,2,SF10,371
9,2,SF10,371
10,2,SF10,371
11,2,SF10,371
12,2,SF10,412
13,2,SF10,412
14,2,SF10,412
15,2,SF10,412
16,2,SF10,412
17,2,SF10,453
18,2,SF10,453
19,2,SF10,453
20,2,SF10,453
21,2,SF10,453
22,2,SF10,494
23,2,SF10,494
24,2,SF10,494
25,2,SF10,494
26,2,SF10,494
27,2,SF10,535
28,2,SF10,535
29,2,SF10,535
30,2,SF10,535
31,2,SF10,535
32,2,SF10,576
33,2,SF10,576
34,2,SF10,576
35,2,SF10,576
36,2,SF10,576
37,2,SF10,617
38,2,SF10,617
39,2,SF10,617
40,2,SF10,617
41,2,SF10,617
42,2,SF10,658
43,2,SF10,658
44,2,SF10,658
45,2,SF10,658
46,2,SF10,658
47,2,SF10,699
48,2,SF10,699
49,2,SF10,699
50,2,SF10,699
51,2,SF10,699
0,3,SF9,145
1,3,SF9,165
2,3,SF9,165
3,3,SF9,165
4,3,SF9,165
5,3,SF9,186
6,3,SF9,186
7,3,SF9,186
8,3,SF9,186
9,3,SF9,206
10,3,SF9,206
11,3,SF9,206
12,3,SF9,206
13,3,SF9,206
14,3,SF9,227
15,3,SF9,227
16,3,SF9,227
17,3,SF9,227
18,3,SF9,247
19,3,SF9,247
20,3,SF9,247
21,3,SF9,247
22,3,SF9,247
23,3,SF9,268
24,3,SF9,268
25,3,SF9,268
26,3,SF9,268
27,3,SF9,288
28,3,SF9,288
29,3,SF9,288
30,3,SF9,288
31,3,SF9,288
32,3,SF9,309
33,3,SF9,309
34,3,SF9,309
35,3,SF9,309
36,3,SF9,329
37,3,SF9,329
38,3,SF9,329
39,3,SF9,329
40,3,SF9,329
41,3,SF9,350
42,3,SF9,350
43,3,SF9,350
44,3,SF9,350
45,3,SF9,370
46,3,SF9,370
47,3,SF9,370
48,3,SF9,370
49,3,SF9,370
50,3,SF9,391
51,3,SF9,391
52,3,SF9,391
53,3,SF9,391
54,3,SF9,411
55,3,SF9,411
56,3,SF9,411
57,3,SF9,411
58,3,SF9,411
59,3,SF9,432
60,3,SF9,432
61,3,SF9,432
62,3,SF9,432
63,3,SF9,452
64,3,SF9,452
65,3,SF9,452
66,3,SF9,452
67,3,SF9,452
68,3,SF9,473
69,3,SF9,473
70,3,SF9,473
71,3,SF9,473
72,3,SF9,493
73,3,SF9,493
74,3,SF9,493
75,3,SF9,493
76,3,SF9,493
77,3,SF9,514
78,3,SF9,514
79,3,SF9,514
80,3,SF9,514
81,3,SF9,534
82,3,SF9,534
83,3,SF9,534
84,3,SF9,534
85,3,SF9,534
86,3,SF9,554
87,3,SF9,554
88,3,SF9,554
89,3,SF9,554
90,3,SF9,575
91,3,SF9,575
92,3,SF9,575
93,3,SF9,575
94,3,SF9,575
95,3,SF9,595
96,3,SF9,595
97,3,SF9,595
98,3,SF9,595
99,3,SF9,616
100,3,SF9,616
101,3,SF9,616
102,3,SF9,616
103,3,SF9,616
104,3,SF9,636
105,3,SF9,636
106,3,SF9,636
107,3,SF9,636
108,3,SF9,657
109,3,SF9,657
110,3,SF9,657
111,3,SF9,657
112,3,SF9,657
113,3,SF9,677
114,3,SF9,677
115,3,SF9,677
0,4,SF8,83
1,4,SF8,83
2,4,SF8,93
3,4,SF8,93
4,4,SF8,93
5,4,SF8,93
6,4,SF8,103
7,4,SF8,103
8,4,SF8,103
9,4,SF8,103
10,4,SF8,114
11,4,SF8,114
12,4,SF8,114
13,4,SF8,114
14,4,SF8,124
15,4,SF8,124
16,4,SF8,124
17,4,SF8,124
18,4,SF8,134
19,4,SF8,134
20,4,SF8,134
21,4,SF8,134
22,4,SF8,144
23,4,SF8,144
24,4,SF8,144
25,4,SF8,144
26,4,SF8,155
27,4,SF8,155
28,4,SF8,155
29,4,SF8,155
30,4,SF8,165
31,4,SF8,165
32,4,SF8,165
33,4,SF8,165
34,4,SF8,175
35,4,SF8,175
36,4,SF8,175
37,4,SF8,175
38,4,SF8,185
39,4,SF8,185
40,4,SF8,185
41,4,SF8,185
42,4,SF8,196
43,4,SF8,196
44,4,SF8,196
45,4,SF8,196
46,4,SF8,206
47,4,SF8,206
48,4,SF8,206
49,4,SF8,206
50,4,SF8,216
51,4,SF8,216
